country,life_expectancy
Australia,81.4
Brunei,76.8
Cambodia,64.5
China,73.5
Fiji,64.9
Indonesia,69.1
Japan,82.3
Kiribati,60.4
Laos,61.7
Malaysia,74.2
Marshall Islands,63.2
"Micronesia, Fed. Sts.",65.6
Mongolia,65.1
Myanmar,65
New Zealand,80.2
North Korea,69.8
Papua New Guinea,57.9
Philippines,68.5
Samoa,71.3
Singapore,81.6
Solomon Islands,61
South Korea,79.2
Thailand,75.1
Timor-Leste,69.2
Tonga,69.7
Vanuatu,62.5
Vietnam,72.3
Albania,75.4
Andorra,82.7
Armenia,72.9
Austria,80
Azerbaijan,68.3
Belgium,79.5
Bosnia and Herzegovina,76.1
Bulgaria,73.1
Croatia,75.6
Cyprus,79
Czech Republic,76.8
Denmark,78.6
Estonia,73.2
Finland,79.3
France,80.8
Georgia,72.7
Germany,79.6
Greece,80
Hungary,73.6
Iceland,81.6
Ireland,79.6
Italy,81.2
Kazakhstan,65.9
Kyrgyz Republic,66.9
Latvia,70.9
Lithuania,70.9
Luxembourg,80.7
"Macedonia, FYR",73.3
Moldova,69.2
Montenegro,75.6
Netherlands,80.1
Norway,80.5
Poland,75.4
Portugal,79
Romania,73.2
Russia,67.7
Serbia,73.9
Switzerland,81.6
Tajikistan,68.5
Turkey,78.1
Ukraine,67.7
United Kingdom,79.6
Uzbekistan,67.6
Antigua and Barbuda,76.4
Argentina,75.3
Bahamas,73.6
Barbados,76.2
Belize,70.7
Bolivia,70.7
Brazil,73.5
Chile,78.9
Colombia,75.8
Costa Rica,80
Cuba,78
Dominican Republic,73.9
Ecuador,76
El Salvador,73.5
Grenada,71.3
Guatemala,70.5
Guyana,65.1
Haiti,58.9
Honduras,71.1
Jamaica,74.7
Mexico,75.7
Nicaragua,77
Panama,77.6
Paraguay,74.1
Peru,77.7
Suriname,69.7
Trinidad and Tobago,72.1
Uruguay,75.8
Venezuela,75
Algeria,75.9
Bahrain,74.6
Djibouti,62.5
Egypt,70.5
Israel,80.2
Jordan,74.4
Kuwait,77.1
Lebanon,78.7
Libya,75.6
Malta,79.6
Morocco,72.7
Oman,76.1
Palestine,72
Qatar,77.9
Saudi Arabia,74.4
Syria,75.3
Tunisia,76.4
United Arab Emirates,76.8
Yemen,65.8
Canada,80.6
United States,78.1
Afghanistan,54.6
Bangladesh,68.9
Bhutan,70.7
India,65
Maldives,77.1
Nepal,66.9
Pakistan,64.4
Sri Lanka,74.7
Angola,57.8
Benin,60.3
Botswana,51.1
Cameroon,55.6
Cape Verde,71.4
Central African Republic,45.7
Chad,54.9
Comoros,64.7
Cote d'Ivoire,54.6
Equatorial Guinea,59.4
Eritrea,61
Ethiopia,58.2
Gabon,61.2
Gambia,64.5
Ghana,60.8
Kenya,59.6
Lesotho,43.6
Liberia,59.2
Madagascar,60.6
Mozambique,52.9
Namibia,54.1
Rwanda,61.1
Sao Tome and Principe,67.3
Senegal,62.7
Seychelles,72.7
Sierra Leone,53.2
Somalia,54.1
Sudan,65.6
Swaziland,43.8
Tanzania,57
Togo,57.1
Uganda,54.3
Zambia,47.8
Zimbabwe,46.4
